Time period,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Abruzzo,42784,43590.8,43037.9,42115,40930.6,41815.6,42591.3,42983.3,42661.2,40241,41090.3,42212.9,41407.7,40367.7,40090.9,40230.3,40101.8,41009.6,40858.5,40915.8,37557.6,41058.1,43138.4,44181,44733.4
Aosta Valley,64554.2,65944.1,66062.8,68313.6,67870.9,67974.3,68529,68139.4,68454.8,63943.6,66279.9,66398.8,65792.7,62295,61011.6,61024.5,59862.1,61923.1,62014.2,62191.9,56402,60444.9,66194.9,67004.2,66439.7
Apulia,31989.8,32567.1,32320.3,32101.9,32274,32200.8,32820.9,32769.8,31496.2,30056.5,30399.8,30559.5,30213.4,29188.5,29262,29755.7,30063.6,30418.7,30753.6,31006.7,28859.6,31664.6,33308.6,33573,33895.7
Autonomous prov. Bolzano,71567.1,71454,69881.8,69828.5,71710,70805,72524.7,73209,72989.4,70716.5,72163.1,72890.5,74043.4,73591.3,73216.6,73913.9,74319.3,76023.8,77856.9,78927.5,72138.9,77830.8,84329.3,87314.2,85555.7
Autonomous prov. Trento,64910.1,65748,64942.3,64299.4,63911.1,63334.8,63749.5,64734.7,63337.5,60700.3,61357.7,61399.8,60051.6,60504.3,59457.2,58780.3,58880.7,59537,61061.3,61919.3,57375.2,61563.8,66083.7,66456.7,66488.4
Basilicata,35359.8,35706.1,35714.8,34878.8,35310.3,35182.7,36596.5,37280.9,36530.4,34008.2,33439.1,34119.8,33409.3,33995.7,32707.5,35153.1,34905.8,35160.3,36670.4,36136.3,32629.2,37284.1,39082.2,39361.2,39525
Calabria,29293.7,30074.6,29964,30025.9,30700.4,31061.8,31632.6,31704,31492.6,30213.2,30043.4,29819.2,28852.7,28086.4,27711.1,27861.5,28076.5,28571.9,28232.8,28389.3,26337.6,28746.3,29813.4,30114.3,30341.6
Campania,32576.6,33432.8,33760.1,33349.6,33392.6,33486.9,34008.4,34285.2,33557.1,32009.4,31420.7,30876.4,30279.1,29467.7,29350.4,29880.5,30093.9,30579.2,30674.3,31124.1,28624.3,31135.5,32954.6,33735.3,34279.1
Emilia-Romagna,60698.3,61008.8,60505.9,59739.1,59967.4,59805.1,61327.3,62183.9,60649.4,56031.7,56529.7,57701.8,55634.1,55193.7,55649.4,56194.3,57269.5,58358.3,58898.5,58663.4,54047.7,59518.5,61467.1,62113.9,62007.5
Friuli-Venezia Giulia,52616.5,53704.7,53431,51930.8,52141.5,53058.8,54258.3,55020.3,52922.3,48987.6,50518.8,50874,48528.2,48309.9,48129,49229.2,49408.3,50174,51056.5,51862,47859.5,52777.9,53975.8,53591.2,54369.5
Lazio,61643.2,63619.1,64631.2,64074.8,65831.5,65806.3,66169.7,66596,64444.6,61942.3,61483.6,61288.8,58143.2,56230.9,55595.2,55044.9,56585.9,56882,57116.4,57546,52556.6,55824.6,60058.3,59979.6,60112
Liguria,51702.7,53585.5,52673.7,53053.9,53409.9,53696.8,54229.7,55815.8,55574.4,51843.7,51258.6,51570.7,49903.1,48878.5,49511.5,50091,50697.8,51698.7,51615.1,52156.1,46802,51077.9,53386,55055,54405.6
Lombardy,66261.8,67401,67825.4,67351.2,67127,66898.7,67078,67679.5,68030.5,63239.7,65326.5,65315.7,62634.6,60940.4,61367.3,62096.4,63016.7,64104.7,65001.8,64896.6,60019.6,66421.7,69309.3,69739.5,70147.6
Marche,46115.6,47321,48149.8,47388.6,47705.7,47781.5,49086.7,49649.3,47711,45156.3,44939.2,44954.1,43213.1,42133.4,42950.9,42923.6,43429.1,44229.5,44602.4,45124.1,41246.3,45187.8,47067.4,47275.3,47489.7
Molise,38440.9,39439.5,39244.9,38663.5,39354.6,39582.7,41424.4,42000.1,40208.2,38602.3,38258.2,37812.2,36082.8,33660,33176.8,33669.5,33938.4,34695.8,35212.2,35909.6,33212.2,36470.9,37765,38582.9,38563.6
Piedmont,52290.6,52980,53112.9,53053.6,53354.1,53450.1,54304.9,54287.1,52702.4,48072.4,49537.5,49902.3,47396,47252.7,46856.8,47568.7,48433.5,49907.9,50585.5,50491.6,45935,50352.9,52065.7,53140.7,53786.6
Sardinia,33527.1,34695.8,34292.9,34830.5,35445.2,35416.1,36316.1,36348,36280.8,34877,34889.2,34877.6,34383.9,33202.4,33110.3,34053.9,33380,33890.5,34175,34735,31944.4,35089,37064.7,37714.9,38656.1
Sicily,30820.3,31714.9,31695.5,31824.9,31870.1,32635.9,33150.9,32939.6,32462.5,30957.5,30752.5,30234,29590.7,28939,28159.3,28524,28529.5,29076.2,28983,29243.8,27276.9,29818.4,32073.7,31646.2,32563.9
Tuscany,52045,52979.5,52951.9,52764.8,52903.1,52601,53514.8,54095.1,52728.1,50439.4,50477,50774.5,49599.8,48579.7,49061.9,49278.3,49892.8,50707.4,51473,53073.6,46263.1,50722.5,53762.4,54131.1,54654.4
Umbria,47636.4,48537.9,47861.9,47513,47709.8,47264.7,48313.3,48576.7,47394.8,43479,43855.7,43571.7,41567.8,40468.9,39481.4,40473.7,40340.4,41181.9,42071.7,42065.1,38245.8,41702.7,43520.6,44652.5,45230.2
Veneto,56060,56303.2,55421.8,55751.3,56410.2,56303.4,56764.9,57262.3,55274.8,52005.2,52571.5,53408.3,51489.9,50854.2,51211.4,51922.4,53098.4,54154.5,54682.4,55087.9,49790.1,54623.2,57265.1,57751.6,57768.4
