name_en,name_local,svg_id,year,population,area_km2,value
Adygea,Адыгея,RU-AD,2023,500731,7600,4619.72
Altai Republic,Республика Алтай,RU-AL,2023,210095,92903,5086.04
Altai Krai,Алтайский край,RU-ALT,2023,2099186,169100,5286.1
Amur Oblast,Амурская область,RU-AMU,2023,750083,361913,9455.44
Arkhangelsk Oblast,Архангельская область,RU-ARK,2023,989434,587400,8307.4
Astrakhan Oblast,Астраханская область,RU-AST,2023,946429,44100,9491.34
Bashkortostan,Башкортостан,RU-BA,2023,4042377,143600,7145.83
Belgorod Oblast,Белгородская область,RU-BEL,2023,1482025,27134,10387.27
Bryansk Oblast,Брянская область,RU-BRY,2023,1132795,34900,5690.82
Buryatia,Бурятия,RU-BU,2023,971139,351300,5404.81
Chechnya,Чечня,RU-CE,2023,1492992,16165,2477.46
Chelyabinsk Oblast,Челябинская область,RU-CHE,2023,3385124,87900,8980.73
Chukotka Autonomous Okrug,Чукотский автономный округ,RU-CHU,2023,47778,721481,34653.35
Chuvashia,Чувашия,RU-CU,2023,1167061,18300,5050.85
Dagestan,Дагестан,RU-DA,2023,3232224,50300,3316.83
Ingushetia,Ингушетия,RU-IN,2023,527200,3128,1826.39
Irkutsk Oblast,Иркутская область,RU-IRK,2023,2322292,774846,12838.08
Ivanovo Oblast,Ивановская область,RU-IVA,2023,905900,23900,4718.19
Kamchatka Krai,Камчатский край,RU-KAM,2023,288947,472300,14507.89
Kabardino-Balkaria,Кабардино-Балкария,RU-KB,2023,905464,12500,3358.79
Karachay-Cherkessia,Карачаево-Черкесия,RU-KC,2023,468322,14100,3159.22
Krasnodar Krai,Краснодарский край,RU-KDA,2023,5842238,75485,9591.25
Kemerovo Oblast,Кемеровская область,RU-KEM,2023,2527219,95500,8753.71
Kaliningrad Oblast,Калининградская область,RU-KGD,2023,994599,15100,8712.89
Kurgan Oblast,Курганская область,RU-KGN,2023,744465,71488,5362.76
Khabarovsk Krai,Хабаровский край,RU-KHA,2023,1273488,787633,9847.6
Khanty-Mansi Autonomous Okrug,Ханты-Мансийский автономный округ — Югра,RU-KHM,2023,1759356,534500,57591.83
Kirov Oblast,Кировская область,RU-KIR,2023,1129935,120800,5767.58
Khakassia,Хакасия,RU-KK,2023,525557,61569,7797.58
Kalmykia,Калмыкия,RU-KL,2023,267588,75000,5221.97
Kaluga Oblast,Калужская область,RU-KLU,2023,1000980,29800,8141.2
Komi Republic,Республика Коми,RU-KO,2023,714785,416800,16033.51
Kostroma Oblast,Костромская область,RU-KOS,2023,566266,60200,5723.25
Karelia,Карелия,RU-KR,2023,518950,180520,8847.19
Kursk Oblast,Курская область,RU-KRS,2023,1049783,29800,7438.34
Krasnoyarsk Krai,Красноярский край,RU-KYA,2023,2837988,2339700,15391.7
Leningrad Oblast,Ленинградская область,RU-LEN,2023,2035762,83908,11045.77
Lipetsk Oblast,Липецкая область,RU-LIP,2023,1125921,24100,8270.26
Magadan Oblast,Магаданская область,RU-MAG,2023,133387,465464,27818.11
Mari El,Марий Эл,RU-ME,2023,669854,23200,4592.78
Mordovia,Мордовия,RU-MO,2023,778965,26200,5155.4
Moscow Oblast,Московская область,RU-MOS,2023,7708499,45800,14082.87
Moscow,Москва,RU-MOW,2023,13274285,2562,28606.82
Murmansk Oblast,Мурманская область,RU-MUR,2023,656438,144902,20553.25
Nenets Autonomous Okrug,Ненецкий автономный округ,RU-NEN,2023,42224,176700,135710.84
Novgorod Oblast,Новгородская область,RU-NGR,2023,566960,54501,7890.9
Nizhny Novgorod Oblast,Нижегородская область,RU-NIZ,2023,3039421,76900,10322.85
Novosibirsk Oblast,Новосибирская область,RU-NVS,2023,2786540,178200,9338.1
Omsk Oblast,Омская область,RU-OMS,2023,1805806,139700,6157.91
Orenburg Oblast,Оренбургская область,RU-ORE,2023,1828655,123702,11327.16
Oryol Oblast,Орловская область,RU-ORL,2023,692486,24652,6274
Perm Krai,Пермский край,RU-PER,2023,2483633,160236,10387.16
Penza Oblast,Пензенская область,RU-PNZ,2023,1213113,43200,5739.94
Primorsky Krai,Приморский край,RU-PRI,2023,1799659,164673,12155.61
Pskov Oblast,Псковская область,RU-PSK,2023,574480,55300,5273.5
Rostov Oblast,Ростовская область,RU-ROS,2023,4137335,101800,7643.1
Ryazan Oblast,Рязанская область,RU-RYA,2023,1043231,39600,6967.3
Sakha,Якутия,RU-SA,2023,1001664,3083523,26141.89
Sakhalin Oblast,Сахалинская область,RU-SAK,2023,457590,87101,41699.51
Samara Oblast,Самарская область,RU-SAM,2023,3112566,53600,9982.18
Saratov Oblast,Саратовская область,RU-SAR,2023,2369405,100830,5917.24
North Ossetia–Alania,Северная Осетия — Алания,RU-SE,2023,678879,7987,3736.07
Smolensk Oblast,Смоленская область,RU-SMO,2023,863987,49779,6564.38
Saint Petersburg,Санкт-Петербург,RU-SPE,2023,5652922,1439,22658.24
Stavropol Krai,Ставропольский край,RU-STA,2023,2884363,66160,4885.23
